,Unnamed: 0,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PT,B,LSTAT,Price
0,0,0.00632,18.0,2.309999943,0,0.5379999879999999,6.574999809,65.19999695,4.090000153,1,296,15.30000019,396.8999939,4.980000018999999,504.0
1,1,0.027310001,0.0,7.070000172,0,0.469000012,6.421000004,78.90000153,4.967100143,2,242,17.79999924,396.8999939,9.140000342999999,453.600008
2,2,0.02729,0.0,7.070000172,0,0.469000012,7.184999942999999,61.09999847,4.967100143,2,242,17.79999924,392.8299866,4.03000021,728.700016
3,3,0.032370001,0.0,2.180000067,0,0.458000004,6.998000145,45.79999924,6.062200069,3,222,18.70000076,394.6300049,2.940000057,701.4000321000002
4,4,0.069049999,0.0,2.180000067,0,0.458000004,7.146999836,54.20000076,6.062200069,3,222,18.70000076,396.8999939,5.329999924,760.200016
5,5,0.029850001,0.0,2.180000067,0,0.458000004,6.429999828,58.70000076,6.062200069,3,222,18.70000076,394.1199951,5.210000038,602.700016
6,6,0.08828999800000001,12.5,7.869999886,0,0.523999989,6.0120000839999985,66.59999847,5.560500145,5,311,15.19999981,395.6000061,12.43000031,480.899992
7,7,0.144549996,12.5,7.869999886,0,0.523999989,6.171999931,96.09999847,5.950500011,5,311,15.19999981,396.8999939,19.14999962,569.100008
8,8,0.211239994,12.5,7.869999886,0,0.523999989,5.631000042,100.0,6.082099915,5,311,15.19999981,386.6300049,29.93000031,346.5
9,9,0.170039997,12.5,7.869999886,0,0.523999989,6.004000187000001,85.90000153,6.592100143,5,311,15.19999981,386.7099915,17.10000038,396.899992
10,10,0.224889994,12.5,7.869999886,0,0.523999989,6.376999855,94.30000305,6.346700191,5,311,15.19999981,392.519989,20.45000076,315.0
11,11,0.117470004,12.5,7.869999886,0,0.523999989,6.008999825,82.90000153,6.226699829,5,311,15.19999981,396.8999939,13.27000046,396.899992
12,12,0.093780003,12.5,7.869999886,0,0.523999989,5.888999939,39.0,5.450900077999999,5,311,15.19999981,390.5,15.71000004,455.700016
13,13,0.629760027,0.0,8.140000342999999,0,0.5379999879999999,5.948999882000001,61.79999924,4.707499981000001,4,307,21.0,396.8999939,8.260000229,428.399992
14,14,0.637960017,0.0,8.140000342999999,0,0.5379999879999999,6.096000195,84.5,4.461900234,4,307,21.0,380.019989,10.26000023,382.200016
15,15,0.627390027,0.0,8.140000342999999,0,0.5379999879999999,5.834000111,56.5,4.498600006,4,307,21.0,395.6199951,8.470000267,417.899992
16,16,1.053930044,0.0,8.140000342999999,0,0.5379999879999999,5.934999942999999,29.29999924,4.498600006,4,307,21.0,386.8500061,6.579999924,485.100008
17,17,0.784200013,0.0,8.140000342999999,0,0.5379999879999999,5.989999771,81.69999695,4.257900238,4,307,21.0,386.75,14.67000008,367.5
18,18,0.802709997,0.0,8.140000342999999,0,0.5379999879999999,5.4559998510000005,36.59999847,3.796499968,4,307,21.0,288.9899902,11.68999958,424.200016
19,19,0.725799978,0.0,8.140000342999999,0,0.5379999879999999,5.727000237,69.5,3.796499968,4,307,21.0,390.9500122,11.27999973,382.200016
20,20,1.251790047,0.0,8.140000342999999,0,0.5379999879999999,5.570000172,98.09999847,3.797899961,4,307,21.0,376.5700073,21.02000046,285.600008
21,21,0.852039993,0.0,8.140000342999999,0,0.5379999879999999,5.965000152999999,89.19999695,4.012300014,4,307,21.0,392.5299988,13.82999992,411.600008
22,22,1.232470036,0.0,8.140000342999999,0,0.5379999879999999,6.142000198,91.69999695,3.976900101,4,307,21.0,396.8999939,18.71999931,319.199996
23,23,0.988430023,0.0,8.140000342999999,0,0.5379999879999999,5.813000202,100.0,4.095200062,4,307,21.0,394.5400085,19.87999916,304.5
24,24,0.750259995,0.0,8.140000342999999,0,0.5379999879999999,5.923999786,94.09999847,4.399600029,4,307,21.0,394.3299866,16.29999924,327.600008
25,25,0.8405399920000001,0.0,8.140000342999999,0,0.5379999879999999,5.598999977,85.69999695,4.454599857,4,307,21.0,303.4200134,16.51000023,291.899992
26,26,0.671909988,0.0,8.140000342999999,0,0.5379999879999999,5.813000202,90.30000305,4.68200016,4,307,21.0,376.8800049,14.81000042,348.600008
27,27,0.955770016,0.0,8.140000342999999,0,0.5379999879999999,6.046999931,88.80000305,4.453400135,4,307,21.0,306.3800049,17.28000069,310.800004
28,28,0.772989988,0.0,8.140000342999999,0,0.5379999879999999,6.494999886,94.40000153,4.454699993,4,307,21.0,387.9400024,12.80000019,386.399992
29,29,1.002449989,0.0,8.140000342999999,0,0.5379999879999999,6.673999786,87.30000305,4.2389998439999985,4,307,21.0,380.230011,11.97999954,441.0
30,30,1.130810022,0.0,8.140000342999999,0,0.5379999879999999,5.712999821,94.09999847,4.232999802,4,307,21.0,360.1700134,22.60000038,266.699996
31,31,1.354719996,0.0,8.140000342999999,0,0.5379999879999999,6.0720000270000005,100.0,4.1750001910000005,4,307,21.0,376.730011,13.03999996,304.5
32,32,1.387989998,0.0,8.140000342999999,0,0.5379999879999999,5.949999809,82.0,3.99000001,4,307,21.0,232.6000061,27.70999908,277.199996
